Date,Dividends
2010-02-25 00:00:00-05:00,0.479244
2010-06-17 00:00:00-04:00,0.479244
2010-09-16 00:00:00-04:00,0.575092
2010-12-22 00:00:00-05:00,0.670941
2011-02-24 00:00:00-05:00,0.670941
2011-06-16 00:00:00-04:00,0.718866
2011-09-15 00:00:00-04:00,0.718866
2011-12-22 00:00:00-05:00,0.814714
2012-02-23 00:00:00-05:00,0.814714
2012-06-15 00:00:00-04:00,0.263584
2012-06-21 00:00:00-04:00,0.814714
2012-09-20 00:00:00-04:00,0.814714
2012-12-20 00:00:00-05:00,0.910563
2013-02-21 00:00:00-05:00,0.910563
2013-06-20 00:00:00-04:00,0.910563
2013-09-19 00:00:00-04:00,0.910563
2013-12-19 00:00:00-05:00,1.054336
2014-02-20 00:00:00-05:00,1.054336
2014-06-19 00:00:00-04:00,1.054336
2014-09-18 00:00:00-04:00,1.054336
2014-12-18 00:00:00-05:00,1.102261
2015-02-19 00:00:00-05:00,1.102261
2015-06-18 00:00:00-04:00,1.102261
2015-09-17 00:00:00-04:00,1.102261
2015-12-17 00:00:00-05:00,1.102261
2016-02-25 00:00:00-05:00,1.102261
2016-06-16 00:00:00-04:00,1.102261
2016-09-15 00:00:00-04:00,1.102261
2016-12-22 00:00:00-05:00,1.150185
2017-02-23 00:00:00-05:00,1.150185
2017-06-15 00:00:00-04:00,1.150185
2017-09-15 00:00:00-04:00,1.150185
2017-12-26 00:00:00-05:00,0.575092
2018-02-23 00:00:00-05:00,0.575092
2018-06-15 00:00:00-04:00,0.575092
2018-09-14 00:00:00-04:00,0.575092
2018-12-19 00:00:00-05:00,0.047924
2019-03-08 00:00:00-05:00,0.049841
2019-06-28 00:00:00-04:00,0.049841
2019-09-13 00:00:00-04:00,0.049841
2019-12-20 00:00:00-05:00,0.049841
2020-03-06 00:00:00-05:00,0.049841
2020-06-26 00:00:00-04:00,0.049841
2020-09-25 00:00:00-04:00,0.049841
2020-12-18 00:00:00-05:00,0.049841
2021-03-05 00:00:00-05:00,0.049841
2021-06-25 00:00:00-04:00,0.049841
2021-09-24 00:00:00-04:00,0.049841
2021-12-20 00:00:00-05:00,0.049841
2022-03-07 00:00:00-05:00,0.049841
2022-06-27 00:00:00-04:00,0.049841
2022-09-26 00:00:00-04:00,0.049841
2022-12-14 00:00:00-05:00,0.049841
2023-03-06 00:00:00-05:00,0.063847
2023-07-10 00:00:00-04:00,0.063847
2023-09-25 00:00:00-04:00,0.063847
2023-12-27 00:00:00-05:00,0.063847
2024-04-12 00:00:00-04:00,0.28
2024-07-11 00:00:00-04:00,0.28
2024-09-26 00:00:00-04:00,0.28
2024-12-27 00:00:00-05:00,0.28
2025-03-10 00:00:00-04:00,0.36
2025-07-07 00:00:00-04:00,0.36
2025-09-29 00:00:00-04:00,0.36
2025-12-29 00:00:00-05:00,0.36
