Date,Dividends
2010-05-05 00:00:00+08:00,0.1
2011-05-03 00:00:00+08:00,0.11
2012-05-18 00:00:00+08:00,0.15
2013-05-20 00:00:00+08:00,0.2
2014-05-16 00:00:00+08:00,0.24
2015-05-15 00:00:00+08:00,0.36
2016-05-20 00:00:00+08:00,0.47
2017-05-19 00:00:00+08:00,0.61
2018-05-18 00:00:00+08:00,0.88
2019-05-17 00:00:00+08:00,1.0
2020-05-15 00:00:00+08:00,1.2
2021-05-24 00:00:00+08:00,1.6
2022-05-20 00:00:00+08:00,1.6
2023-05-19 00:00:00+08:00,2.4
2024-05-17 00:00:00+08:00,3.4
2025-05-16 00:00:00+08:00,4.5
