Date,Dividends
2010-03-10 00:00:00-05:00,0.101
2010-05-12 00:00:00-04:00,0.101
2010-08-11 00:00:00-04:00,0.101
2010-12-08 00:00:00-05:00,0.101
2011-03-09 00:00:00-05:00,0.121667
2011-05-11 00:00:00-04:00,0.121667
2011-08-10 00:00:00-04:00,0.121667
2011-12-07 00:00:00-05:00,0.121667
2012-03-08 00:00:00-05:00,0.132667
2012-05-09 00:00:00-04:00,0.132667
2012-08-08 00:00:00-04:00,0.132667
2012-12-05 00:00:00-05:00,0.132667
2013-03-08 00:00:00-05:00,0.156667
2013-05-08 00:00:00-04:00,0.156667
2013-08-07 00:00:00-04:00,0.156667
2013-12-04 00:00:00-05:00,0.156667
2014-03-07 00:00:00-05:00,0.16
2014-05-07 00:00:00-04:00,0.16
2014-08-06 00:00:00-04:00,0.16
2014-12-03 00:00:00-05:00,0.16
2015-03-11 00:00:00-04:00,0.163333
2015-05-06 00:00:00-04:00,0.163333
2015-08-05 00:00:00-04:00,0.163333
2015-12-02 00:00:00-05:00,0.163333
2016-03-09 00:00:00-05:00,0.166667
2016-05-11 00:00:00-04:00,0.166667
2016-08-10 00:00:00-04:00,0.166667
2016-12-07 00:00:00-05:00,0.166667
2017-03-08 00:00:00-05:00,0.17
2017-05-10 00:00:00-04:00,0.17
2017-08-09 00:00:00-04:00,0.17
2017-12-07 00:00:00-05:00,0.17
2018-03-08 00:00:00-05:00,0.173333
2018-05-10 00:00:00-04:00,0.173333
2018-08-09 00:00:00-04:00,0.173333
2018-12-06 00:00:00-05:00,0.173333
2019-03-14 00:00:00-04:00,0.176667
2019-05-09 00:00:00-04:00,0.176667
2019-08-08 00:00:00-04:00,0.176667
2019-12-05 00:00:00-05:00,0.176667
2020-03-19 00:00:00-04:00,0.18
2020-05-07 00:00:00-04:00,0.18
2020-08-13 00:00:00-04:00,0.18
2020-12-10 00:00:00-05:00,0.18
2021-03-18 00:00:00-04:00,0.183333
2021-05-06 00:00:00-04:00,0.183333
2021-08-12 00:00:00-04:00,0.183333
2021-12-09 00:00:00-05:00,0.183333
2022-03-17 00:00:00-04:00,0.186667
2022-05-05 00:00:00-04:00,0.186667
2022-08-11 00:00:00-04:00,0.186667
2022-12-08 00:00:00-05:00,0.186667
2023-03-16 00:00:00-04:00,0.19
2023-05-04 00:00:00-04:00,0.19
2023-08-10 00:00:00-04:00,0.19
2023-12-07 00:00:00-05:00,0.19
2024-03-14 00:00:00-04:00,0.208
2024-05-09 00:00:00-04:00,0.208
2024-08-16 00:00:00-04:00,0.208
2024-12-13 00:00:00-05:00,0.208
2025-03-21 00:00:00-04:00,0.235
2025-05-09 00:00:00-04:00,0.235
2025-08-15 00:00:00-04:00,0.235
2025-12-12 00:00:00-05:00,0.235
