Date,Dividends
2010-02-08 00:00:00-05:00,0.525813
2010-05-06 00:00:00-04:00,0.621415
2010-08-06 00:00:00-04:00,0.621415
2010-11-08 00:00:00-05:00,0.621415
2011-02-08 00:00:00-05:00,0.621415
2011-05-06 00:00:00-04:00,0.717017
2011-08-08 00:00:00-04:00,0.717017
2011-11-08 00:00:00-05:00,0.717017
2012-02-08 00:00:00-05:00,0.717017
2012-05-08 00:00:00-04:00,0.81262
2012-08-08 00:00:00-04:00,0.81262
2012-11-07 00:00:00-05:00,0.81262
2013-02-06 00:00:00-05:00,0.81262
2013-05-08 00:00:00-04:00,0.908222
2013-08-07 00:00:00-04:00,0.908222
2013-11-06 00:00:00-05:00,0.908222
2014-02-06 00:00:00-05:00,0.908222
2014-05-07 00:00:00-04:00,1.051625
2014-08-06 00:00:00-04:00,1.051625
2014-11-06 00:00:00-05:00,1.051625
2015-02-06 00:00:00-05:00,1.051625
2015-05-06 00:00:00-04:00,1.24283
2015-08-06 00:00:00-04:00,1.24283
2015-11-06 00:00:00-05:00,1.24283
2016-02-08 00:00:00-05:00,1.24283
2016-05-06 00:00:00-04:00,1.338432
2016-08-08 00:00:00-04:00,1.338432
2016-11-08 00:00:00-05:00,1.338432
2017-02-08 00:00:00-05:00,1.338432
2017-05-08 00:00:00-04:00,1.434034
2017-08-08 00:00:00-04:00,1.434034
2017-11-09 00:00:00-05:00,1.434034
2018-02-08 00:00:00-05:00,1.434034
2018-05-09 00:00:00-04:00,1.500956
2018-08-09 00:00:00-04:00,1.500956
2018-11-08 00:00:00-05:00,1.500956
2019-02-07 00:00:00-05:00,1.500956
2019-05-09 00:00:00-04:00,1.548757
2019-08-08 00:00:00-04:00,1.548757
2019-11-07 00:00:00-05:00,1.548757
2020-02-07 00:00:00-05:00,1.548757
2020-05-07 00:00:00-04:00,1.558317
2020-08-07 00:00:00-04:00,1.558317
2020-11-09 00:00:00-05:00,1.558317
2021-02-09 00:00:00-05:00,1.558317
2021-05-07 00:00:00-04:00,1.567878
2021-08-09 00:00:00-04:00,1.567878
2021-11-09 00:00:00-05:00,1.64
2022-02-10 00:00:00-05:00,1.64
2022-05-09 00:00:00-04:00,1.65
2022-08-09 00:00:00-04:00,1.65
2022-11-09 00:00:00-05:00,1.65
2023-02-09 00:00:00-05:00,1.65
2023-05-09 00:00:00-04:00,1.66
2023-08-09 00:00:00-04:00,1.66
2023-11-09 00:00:00-05:00,1.66
2024-02-08 00:00:00-05:00,1.66
2024-05-09 00:00:00-04:00,1.67
2024-08-09 00:00:00-04:00,1.67
2024-11-12 00:00:00-05:00,1.67
2025-02-10 00:00:00-05:00,1.67
2025-05-09 00:00:00-04:00,1.68
2025-08-08 00:00:00-04:00,1.68
2025-11-10 00:00:00-05:00,1.68
