Date,Close,High,Low,Open,Volume
2010-01-04,6.743628025054932,6.750706330796489,6.672840796569387,6.703515441006598,38576858
2010-01-05,6.710596561431885,6.77902358280569,6.689360445451348,6.771944678856399,46650478
2010-01-06,6.644674301147461,6.745752336705799,6.630234755425004,6.726499406492333,50172450
2010-01-07,6.570068836212158,6.663926788800754,6.526749594171107,6.637454391359409,44486797
2010-01-08,6.521939754486084,6.591731425394666,6.468993720261503,6.567665101451748,36586622
2010-01-11,6.490650653839111,6.550816134819185,6.461770955558435,6.541189973892658,34147549
2010-01-12,6.488243579864502,6.524342744778156,6.444924338867914,6.461770575310918,34831527
2010-01-13,6.411233425140381,6.521938246581988,6.38476041414878,6.49787192820332,56390352
2010-01-14,6.302933692932129,6.461769879908478,6.2764606912275145,6.411231176018337,55933836
2010-01-15,6.206671714782715,6.322189941629909,6.172979227817281,6.3173765555632,84760229
2010-01-19,6.305342197418213,6.3173750519702905,6.209076929999101,6.237956631774959,44965291
2010-01-20,6.21629524230957,6.264427862352224,6.185008856956712,6.264427862352224,51751188
2010-01-21,6.177790641784668,6.2523956709998805,6.112811773879208,6.237956125159968,53059168
2010-01-22,6.110403537750244,6.216294931906251,6.103184070529656,6.141689313790437,50814723
2010-01-25,6.156130313873291,6.233142026530747,6.093558145401483,6.192229478212661,39589586
2010-01-26,6.09596586227417,6.139285109864657,6.03098699088844,6.112812101281447,45239226
2010-01-27,6.165757179260254,6.286088753738025,6.0406134357544,6.067085835163995,78105143
2010-01-28,6.146503925323486,6.293307891482651,6.086338445127177,6.18500978402908,68925984
2010-01-29,6.103184223175049,6.1970421613935045,6.100777531457854,6.163349085103201,51531404
2010-02-01,6.107996463775635,6.187414852484003,6.083930764212793,6.177788694208942,48689306
2010-02-02,6.182602405548096,6.218702175858804,6.081524993479622,6.105590696686131,41202615
2010-02-03,6.156130313873291,6.211482406377025,6.1128110735658465,6.16816316606958,30391228
2010-02-04,6.02376651763916,6.134470702810689,6.023766517639161,6.120031158603642,42811010
2010-02-05,6.074304103851318,6.091150336938504,6.006919171502575,6.045425020773397,67369357
2010-02-08,6.011733531951904,6.081525782001265,6.006920755336869,6.0622728522894676,35977184
2010-02-09,6.079119682312012,6.117625545488531,6.02858096479931,6.059866750723753,46259501
2010-02-10,6.045426845550537,6.076712629620117,6.018953838279726,6.0718992450707745,35283938
2010-02-11,6.062273979187012,6.107999315908179,5.975635475503681,6.0285814978660115,36339828
2010-02-12,6.03339147567749,6.052644400034147,5.98285277714766,6.0237653173743535,45165744
2010-02-16,6.093557834625244,6.134470380856758,6.04783251241097,6.088744450892014,34296499
2010-02-17,6.112813472747803,6.141692572453684,6.064681437321087,6.11522016568175,25826341
2010-02-18,6.074304103851318,6.144095727748287,6.055051179215907,6.112809953122141,35785734
2010-02-19,6.040614604949951,6.112812955860447,6.0213616708571065,6.064680924503679,45942270
2010-02-22,6.021360874176025,6.055053352443008,6.009327412115954,6.047833882957574,41185403
2010-02-23,5.975635528564453,6.023768166093845,5.975635528564453,6.016548088139236,37754919
2010-02-24,5.994887828826904,6.0045145984162405,5.968414820206835,5.987667751634902,38357339
2010-02-25,5.961195945739746,5.982855571726948,5.9226894712897575,5.958789253102205,39168157
2010-02-26,5.970820903778076,5.994887217546844,5.946754590009308,5.982854364537732,38639484
2010-03-01,6.016547203063965,6.033393441395854,5.975634649507699,5.9948875801370844,32975544
2010-03-02,5.987664699554443,6.0309839251242225,5.946752165155241,6.016544385851062,44224248
2010-03-03,5.990074634552002,6.023767721435712,5.970821702511578,6.023767721435712,27400312
2010-03-04,6.006920337677002,6.01654649798832,5.968413873180202,5.99248018558426,38040109
2010-03-05,6.014139175415039,6.028579325993789,5.973226630942803,6.023765942467539,37017848
2010-03-08,6.083932876586914,6.103185807572137,5.992480998594162,6.028580775973222,32679895
2010-03-09,6.1513166427612305,6.192229189169586,6.088744477210187,6.098371244718258,57545277
2010-03-10,6.141688823699951,6.1898214374983045,6.105589667226372,6.1633484391341735,31161267
2010-03-11,6.160944938659668,6.160944938659667,6.088746588318204,6.1176262931052,28811034
2010-03-12,6.165757179260254,6.192230186420421,6.115218464955104,6.18260341736197,23591164
2010-03-15,6.204261779785156,6.2090751633366885,6.151316383969647,6.180195469777943,26904077
2010-03-16,6.2211103439331055,6.2548028226174655,6.187417257498129,6.223516428624317,23329410
2010-03-17,6.23314094543457,6.254800561831579,6.221108095325298,6.2451737955438436,23969961
2010-03-18,6.271648406982422,6.278868483553881,6.233142547435752,6.2475820928281145,22520710
2010-03-19,6.314968109130859,6.331814347936089,6.254802623254696,6.3149681091308585,47487511
2010-03-22,6.353471755981445,6.38716422184316,6.2764600581544485,6.3029330571888735,32488842
2010-03-23,6.389572620391846,6.3943860047295615,6.336627215928616,6.372726382960389,24012461
2010-03-24,6.319780349731445,6.377539132785871,6.286087878220652,6.358286205101063,27038728
2010-03-25,6.293308734893799,6.363100992995133,6.2836825728026,6.3606943005346785,31899132
2010-03-26,6.314968109130859,6.377540287372141,6.283682323885516,6.2981218703256285,23911175
2010-03-29,6.379945755004883,6.394385298673094,6.3294064405404225,6.341439900055999,26903415
2010-03-30,6.245174884796143,6.336626749478622,6.21870248838848,6.312560437312154,69180324
2010-03-31,6.218701362609863,6.266833370478905,6.197041746356158,6.233140904195537,48599406
2010-04-01,6.283682823181152,6.307749140994025,6.235550187555408,6.2692426678430415,27218395
2010-04-05,6.331813335418701,6.343846795320028,6.288494095274928,6.329406643438436,31740517
2010-04-06,6.331813335418701,6.343846795320028,6.293307479235459,6.322187175248141,28293350
2010-04-07,6.3062639236450195,6.399690423771966,6.264467988508879,6.392314451380966,41533615
2010-04-08,6.397233009338379,6.40706702023077,6.293971859292354,6.296430517233756,48399747
2010-04-09,6.500492095947266,6.517702076844692,6.407065598399695,6.419358885378628,52618408
2010-04-12,6.485742092132568,6.5570413153241525,6.475908080480126,6.532455354883149,30372163
2010-04-13,6.4414849281311035,6.498032174615921,6.397230345361086,6.470987569395809,50332787
2010-04-14,6.451319694519043,6.451319694519043,6.3972310985832825,6.434109714942802,36690688
2010-04-15,6.451319694519043,6.466071016888245,6.402147792124328,6.431651057735763,37060614
2010-04-16,6.375107288360596,6.478367843119264,6.37018997125938,6.4414892066068905,42343506
2010-04-19,6.485742092132568,6.502952078179291,6.380022896847537,6.414443489814249,44089597
2010-04-20,6.55458402633667,6.574252674623275,6.480826750480252,6.4955780814768564,45651123
2010-04-21,6.475907802581787,6.57670905640505,6.426735883809877,6.57425101925237,59248735
2010-04-22,6.458695888519287,6.4685298968130045,6.340683442883295,6.414441299014921,43619048
2010-04-23,6.453780174255371,6.463614184987592,6.389856931439711,6.434111531917723,37099672
2010-04-26,6.458695888519287,6.495574506148573,6.443944565642183,6.448861259352515,23540720
2010-04-27,6.380022048950195,6.468531246425736,6.362812065190658,6.441487252320686,44845336
2010-04-28,6.370186805725098,6.416900053226707,6.301346263137098,6.392314100811488,45223471
2010-04-29,6.42673397064209,6.46607124560005,6.377562687381166,6.411982647751119,33938092
2010-04-30,6.40706729888916,6.51524514864968,6.4046086408408245,6.443946548740941,44673084
2010-05-03,6.461155414581299,6.498034037169305,6.409524846259583,6.451320784092158,35849154
2010-05-04,6.367729187011719,6.498034321454797,6.330850562810294,6.470989707299608,41520640
2010-05-05,6.33576774597168,6.426735605498355,6.328392393086553,6.3677296780512735,44335994
2010-05-06,6.180876731872559,6.328391848226147,5.910433076242998,6.321015875102861,89717682
2010-05-07,6.171043872833252,6.266928436952928,6.089910636838155,6.198087870916102,68006068
2010-05-10,6.311182022094727,6.397232560513699,6.2448001249538185,6.335767358037427,54065408
2010-05-11,6.303807735443115,6.3456036869511285,6.230050466134074,6.269387759215341,42857880
2010-05-12,6.3480610847473145,6.365271069443554,6.284137840966126,6.3259337841740875,38826168
2010-05-13,6.3283915519714355,6.384938813983298,6.298888281732609,6.343142876654285,30376400
2010-05-14,6.244801998138428,6.338227917014886,6.190713373617673,6.325935245356239,50045876
2010-05-17,6.33576774597168,6.365271020131827,6.217755891077516,6.257093176042238,39622024
2010-05-18,6.291511058807373,6.3677269380217165,6.222670529304549,6.357892310575765,50265925
2010-05-19,6.28659725189209,6.321017225407277,6.2202153422214055,6.276762618960155,40770991
2010-05-20,6.136621475219727,6.220212715474794,6.112035524145634,6.215296021958398,54600833
2010-05-21,6.109578609466553,6.114495925258447,5.989108097804385,5.989108097804385,71851097
2010-05-24,6.006317138671875,6.084991695490388,5.974355211918661,6.07515706545152,39734564
2010-05-25,5.979274272918701,5.996484259639022,5.846511074738161,5.922726996302421,69160861
2010-05-26,5.93256139755249,6.003859999877293,5.905516778977599,5.976815381302403,49869916
2010-05-27,6.055488109588623,6.062864081732064,5.962062233470414,6.001399509822615,36486130
2010-05-28,5.9743547439575195,6.080073904229009,5.971896086640385,6.048111979979319,40159700
2010-06-01,5.981732368469238,6.0972855690598395,5.930102413164894,5.966981041364173,39376952
2010-06-02,6.092365264892578,6.094823921683042,5.996480754429103,6.008774038381425,33929883
2010-06-03,6.09728479385376,6.129246722869879,6.050571539608052,6.116953434450928,31180730
