Date,Dividends
2010-06-29 00:00:00+09:00,100.0
2010-12-29 00:00:00+09:00,100.0
2011-06-29 00:00:00+09:00,10.0
2011-12-28 00:00:00+09:00,100.0
2012-06-28 00:00:00+09:00,10.0
2012-12-27 00:00:00+09:00,150.0
2013-06-27 00:00:00+09:00,10.0
2013-12-27 00:00:00+09:00,276.0
2014-06-27 00:00:00+09:00,10.0
2014-12-29 00:00:00+09:00,390.0
2015-06-29 00:00:00+09:00,20.0
2015-12-29 00:00:00+09:00,400.0
2016-06-29 00:00:00+09:00,20.0
2016-12-28 00:00:00+09:00,550.0
2017-03-30 00:00:00+09:00,140.0
2017-06-29 00:00:00+09:00,140.0
2017-09-28 00:00:00+09:00,140.0
2017-12-27 00:00:00+09:00,430.0
2018-03-29 00:00:00+09:00,354.0
2018-06-28 00:00:00+09:00,354.0
2018-09-27 00:00:00+09:00,354.0
2018-12-27 00:00:00+09:00,354.0
2019-03-28 00:00:00+09:00,354.0
2019-06-27 00:00:00+09:00,354.0
2019-09-27 00:00:00+09:00,354.0
2019-12-27 00:00:00+09:00,354.0
2020-03-30 00:00:00+09:00,354.0
2020-06-29 00:00:00+09:00,354.0
2020-09-28 00:00:00+09:00,354.0
2020-12-29 00:00:00+09:00,1932.0
2021-03-30 00:00:00+09:00,361.0
2021-06-29 00:00:00+09:00,361.0
2021-09-29 00:00:00+09:00,361.0
2021-12-29 00:00:00+09:00,361.0
2022-03-30 00:00:00+09:00,361.0
2022-06-29 00:00:00+09:00,361.0
2022-09-29 00:00:00+09:00,361.0
2022-12-28 00:00:00+09:00,361.0
2023-03-30 00:00:00+09:00,361.0
2023-06-29 00:00:00+09:00,361.0
2023-09-26 00:00:00+09:00,361.0
2023-12-27 00:00:00+09:00,361.0
2024-03-28 00:00:00+09:00,361.0
2024-06-27 00:00:00+09:00,361.0
2024-09-27 00:00:00+09:00,361.0
2024-12-27 00:00:00+09:00,363.0
2025-03-28 00:00:00+09:00,365.0
2025-06-27 00:00:00+09:00,367.0
2025-09-29 00:00:00+09:00,370.0
2025-12-29 00:00:00+09:00,566.0
