Date,Dividends
2010-01-04 00:00:00-05:00,0.05
2010-04-01 00:00:00-04:00,0.05
2010-07-01 00:00:00-04:00,0.05
2010-10-04 00:00:00-04:00,0.05
2011-01-04 00:00:00-05:00,0.05
2011-04-04 00:00:00-04:00,0.25
2011-07-01 00:00:00-04:00,0.25
2011-10-04 00:00:00-04:00,0.25
2012-01-04 00:00:00-05:00,0.25
2012-04-03 00:00:00-04:00,0.3
2012-07-03 00:00:00-04:00,0.3
2012-10-03 00:00:00-04:00,0.3
2013-01-02 00:00:00-05:00,0.3
2013-04-03 00:00:00-04:00,0.3
2013-07-02 00:00:00-04:00,0.38
2013-10-02 00:00:00-04:00,0.38
2014-01-02 00:00:00-05:00,0.38
2014-04-02 00:00:00-04:00,0.38
2014-07-01 00:00:00-04:00,0.4
2014-10-02 00:00:00-04:00,0.4
2015-01-02 00:00:00-05:00,0.4
2015-04-01 00:00:00-04:00,0.4
2015-07-01 00:00:00-04:00,0.44
2015-10-02 00:00:00-04:00,0.44
2016-01-04 00:00:00-05:00,0.44
2016-04-04 00:00:00-04:00,0.44
2016-07-01 00:00:00-04:00,0.48
2016-10-04 00:00:00-04:00,0.48
2017-01-04 00:00:00-05:00,0.48
2017-04-04 00:00:00-04:00,0.5
2017-07-03 00:00:00-04:00,0.5
2017-10-05 00:00:00-04:00,0.56
2018-01-04 00:00:00-05:00,0.56
2018-04-05 00:00:00-04:00,0.56
2018-07-05 00:00:00-04:00,0.56
2018-10-04 00:00:00-04:00,0.8
2019-01-03 00:00:00-05:00,0.8
2019-04-04 00:00:00-04:00,0.8
2019-07-03 00:00:00-04:00,0.8
2019-10-03 00:00:00-04:00,0.9
2020-01-03 00:00:00-05:00,0.9
2020-04-03 00:00:00-04:00,0.9
2020-07-02 00:00:00-04:00,0.9
2020-10-05 00:00:00-04:00,0.9
2021-01-05 00:00:00-05:00,0.9
2021-04-05 00:00:00-04:00,0.9
2021-07-02 00:00:00-04:00,0.9
2021-10-05 00:00:00-04:00,1.0
2022-01-05 00:00:00-05:00,1.0
2022-04-05 00:00:00-04:00,1.0
2022-07-05 00:00:00-04:00,1.0
2022-10-05 00:00:00-04:00,1.0
2023-01-05 00:00:00-05:00,1.0
2023-04-05 00:00:00-04:00,1.0
2023-07-05 00:00:00-04:00,1.0
2023-10-05 00:00:00-04:00,1.05
2024-01-04 00:00:00-05:00,1.05
2024-04-04 00:00:00-04:00,1.15
2024-07-05 00:00:00-04:00,1.15
2024-10-04 00:00:00-04:00,1.25
2025-01-06 00:00:00-05:00,1.25
2025-04-04 00:00:00-04:00,1.4
2025-07-03 00:00:00-04:00,1.4
2025-10-06 00:00:00-04:00,1.5
