Date,Dividends
2010-02-10 00:00:00-05:00,0.84
2010-05-05 00:00:00-04:00,0.84
2010-08-04 00:00:00-04:00,0.84
2010-11-03 00:00:00-04:00,0.84
2011-02-09 00:00:00-05:00,0.84
2011-05-11 00:00:00-04:00,0.84
2011-08-03 00:00:00-04:00,0.84
2011-11-02 00:00:00-04:00,0.84
2012-02-15 00:00:00-05:00,0.84
2012-05-09 00:00:00-04:00,0.86
2012-08-08 00:00:00-04:00,0.86
2012-11-14 00:00:00-05:00,0.86
2013-02-13 00:00:00-05:00,0.86
2013-05-15 00:00:00-04:00,0.9
2013-08-14 00:00:00-04:00,0.9
2013-11-13 00:00:00-05:00,0.9
2014-02-12 00:00:00-05:00,0.9
2014-05-14 00:00:00-04:00,0.94
2014-08-13 00:00:00-04:00,0.94
2014-11-12 00:00:00-05:00,0.94
2015-02-11 00:00:00-05:00,0.94
2015-05-13 00:00:00-04:00,0.94
2015-08-12 00:00:00-04:00,0.94
2015-11-10 00:00:00-05:00,0.94
2016-02-17 00:00:00-05:00,0.94
2016-05-18 00:00:00-04:00,0.94
2016-08-10 00:00:00-04:00,0.94
2016-11-08 00:00:00-05:00,0.94
2017-02-15 00:00:00-05:00,0.94
2017-05-17 00:00:00-04:00,0.94
2017-08-09 00:00:00-04:00,0.94
2017-11-16 00:00:00-05:00,0.94
2018-02-15 00:00:00-05:00,0.94
2018-05-10 00:00:00-04:00,0.94
2018-08-09 00:00:00-04:00,0.94
2018-11-15 00:00:00-05:00,0.94
2019-02-14 00:00:00-05:00,0.94
2019-05-16 00:00:00-04:00,0.94
2019-08-15 00:00:00-04:00,0.94
2019-11-14 00:00:00-05:00,0.94
2020-02-13 00:00:00-05:00,0.94
2020-05-14 00:00:00-04:00,0.32
2020-08-13 00:00:00-04:00,0.32
2020-11-12 00:00:00-05:00,0.333
2021-02-18 00:00:00-05:00,0.333
2021-05-13 00:00:00-04:00,0.347
2021-08-12 00:00:00-04:00,0.48
2021-11-10 00:00:00-05:00,0.48
2022-05-19 00:00:00-04:00,0.5
2022-08-11 00:00:00-04:00,0.5
2022-11-09 00:00:00-05:00,0.5
2023-02-16 00:00:00-05:00,0.575
2023-05-18 00:00:00-04:00,0.575
2023-08-10 00:00:00-04:00,0.662
2023-11-16 00:00:00-05:00,0.662
2024-02-15 00:00:00-05:00,0.688
2024-05-16 00:00:00-04:00,0.688
2024-08-16 00:00:00-04:00,0.688
2024-11-15 00:00:00-05:00,0.688
2025-02-14 00:00:00-05:00,0.716
2025-05-16 00:00:00-04:00,0.716
2025-08-15 00:00:00-04:00,0.716
2025-11-14 00:00:00-05:00,0.716
